Wavelength,Intensity0
304.34008,1056
304.3765,1078
304.41292,1058
304.44934,1066
304.48576,1068
304.52218,1058
304.5586,1068
304.59502,1056
304.63144,1068
304.66786,1066
304.70428,1056
304.7407,1054
304.77712,1058
304.81354,1066
304.84996,1064
304.88638,1064
304.9228,1064
304.95922,1060
304.99564,1058
305.03206,1068
305.06848,1064
305.1049,1058
305.14132,1066
305.17774,1066
305.21416,1060
305.25058,1052
305.287,1052
305.32342,1070
305.35984,1052
305.39626,1060
305.43268,1058
305.4691,1056
305.50552,1060
305.54194,1074
305.57836,1064
305.61478,1052
305.6512,1058
305.68762,1060
305.72404,1076
305.76046,1068
305.79688,1056
305.8333,1060
305.86972,1068
305.90614,1064
305.94256,1050
305.97898,1052
306.0154,1058
306.05182,1062
306.08824,1068
306.12466,1056
306.16108,1060
306.1975,1056
306.23392,1062
306.27034,1078
306.30676,1054
306.34318,1066
306.3796,1064
306.41602,1062
306.45244,1056
306.48886,1066
306.52528,1048
306.5617,1056
306.59812,1066
306.63454,1054
306.67096,1064
306.70738,1074
306.7438,1058
306.78022,1066
306.81664,1052
306.85306,1054
306.88948,1060
306.9259,1070
306.96232,1056
306.99874,1060
307.03516,1066
307.07158,1066
307.108,1066
307.14442,1064
307.18084,1058
307.21726,1060
307.25368,1066
307.2901,1064
307.32652,1062
307.36294,1060
307.39936,1060
307.43578,1050
307.4722,1060
307.50862,1062
307.54504,1054
307.58146,1056
307.61788,1066
307.6543,1074
307.69072,1058
307.72714,1056
307.76356,1064
307.79998,1054
307.8364,1044
307.87282,1060
307.90924,1066
307.94566,1064
307.98208,1064
308.0185,1062
308.05492,1064
308.09134,1072
308.12776,1052
308.16418,1068
308.2006,1062
308.23702,1058
308.27344,1060
308.30986,1070
308.34628,1068
308.3827,1074
308.41912,1066
308.45554,1068
308.49196,1066
308.52838,1060
308.5648,1064
308.60122,1068
308.63764,1062
308.67406,1066
308.71048,1066
308.7469,1060
308.78332,1062
308.81974,1056
308.85616,1062
308.89258,1066
308.929,1064
308.96542,1064
309.00184,1050
309.03826,1058
309.07468,1064
309.1111,1064
309.14752,1058
309.18394,1062
309.22036,1070
309.25678,1060
309.2932,1058
309.32962,1056
309.36604,1054
309.40246,1058
309.43888,1064
309.4753,1072
309.51172,1064
309.54814,1064
309.58456,1056
309.62098,1064
309.6574,1058
309.69382,1058
309.73024,1070
309.76666,1058
309.80308,1064
309.8395,1062
309.87592,1064
