Wavelength,Intensity0
318.7624,1050
318.79882,1062
318.83524,1054
318.87166,1062
318.90808,1062
318.9445,1068
318.98092,1062
319.01734,1058
319.05376,1060
319.09018,1060
319.1266,1074
319.16302,1060
319.19944,1060
319.23586,1060
319.27228,1058
319.3087,1064
319.34512,1060
319.38154,1060
319.41796,1052
319.45438,1068
319.4908,1060
319.52722,1066
319.56364,1058
319.60006,1064
319.63648,1070
319.6729,1054
319.70932,1062
319.74574,1054
319.78216,1064
319.81858,1062
319.855,1050
319.89142,1058
319.92784,1058
319.96426,1052
320.00068,1058
320.0371,1064
320.07352,1068
320.10994,1058
320.14636,1052
320.18278,1064
320.2192,1072
320.25562,1048
320.29204,1058
320.32846,1068
320.36488,1062
320.4013,1064
320.43772,1066
320.47414,1064
320.51056,1050
320.54698,1062
320.5834,1052
320.61982,1066
320.65624,1072
320.69266,1066
320.72908,1050
320.7655,1060
320.80192,1058
320.83834,1048
320.87476,1062
320.91118,1056
320.9476,1052
320.98402,1052
321.02044,1060
321.05686,1056
321.09328,1054
321.1297,1054
321.16612,1056
321.20254,1054
321.23896,1058
321.27538,1058
321.3118,1054
321.34822,1058
321.38464,1064
321.42106,1062
321.45748,1056
321.4939,1066
321.53032,1068
321.56674,1060
321.60316,1050
321.63958,1062
321.676,1056
321.71242,1064
321.74884,1054
321.78526,1056
321.82168,1048
321.8581,1064
321.89452,1060
321.93094,1062
321.96736,1058
322.00378,1054
322.0402,1060
322.07662,1052
322.11304,1058
322.14946,1062
322.18588,1056
322.2223,1056
322.25872,1062
322.29514,1062
322.33156,1056
322.36798,1054
322.4044,1064
322.44082,1056
322.47724,1060
322.51366,1060
322.55008,1052
322.5865,1052
322.62292,1056
322.65934,1060
322.69576,1052
322.73218,1058
322.7686,1062
322.80502,1050
322.84144,1054
322.87786,1058
322.91428,1054
322.9507,1064
322.98712,1054
323.02354,1058
323.05996,1070
323.09638,1054
323.1328,1054
323.16922,1052
323.20564,1064
323.24206,1056
323.27848,1072
323.3149,1062
323.35132,1058
323.38774,1058
323.42416,1058
323.46058,1052
323.497,1054
323.53342,1052
323.56984,1078
323.60626,1058
323.64268,1052
323.6791,1062
323.71552,1054
323.75194,1058
323.78836,1054
323.82478,1058
323.8612,1064
323.89762,1062
323.93404,1052
323.97046,1068
324.00688,1054
324.0433,1052
324.07972,1058
324.11614,1058
324.15256,1062
324.18898,1062
324.2254,1066
324.26182,1044
324.29824,1074
324.33466,1060
324.37108,1056
324.4075,1052
324.44392,1056
324.48034,1046
324.51676,1062
324.55318,1056
324.5896,1064
324.62602,1072
324.66244,1042
324.69886,1060
324.73528,1056
324.7717,1056
324.80812,1062
324.84454,1060
324.88096,1068
324.91738,1060
324.9538,1050
324.99022,1054
325.02664,1062
325.06306,1052
325.09948,1060
325.1359,1056
325.17232,1054
325.20874,1058
325.24516,1056
325.28158,1050
325.318,1060
325.35442,1058
325.39084,1050
325.42726,1058
325.46368,1054
325.5001,1052
325.53652,1054
325.57294,1056
325.60936,1058
325.64578,1066
325.6822,1052
325.71862,1048
325.75504,1058
325.79146,1058
325.82788,1060
325.8643,1058
325.90072,1050
325.93714,1054
325.97356,1050
326.00998,1060
326.0464,1062
326.08282,1058
326.11924,1070
326.15566,1054
326.19208,1054
326.2285,1050
326.26492,1046
326.30134,1050
326.33776,1056
326.37418,1056
326.4106,1058
326.44702,1052
326.48344,1046
326.51986,1064
326.55628,1064
326.5927,1058
326.62912,1058
326.66554,1050
326.70196,1060
326.73838,1056
326.7748,1062
326.81122,1052
326.84764,1056
326.88406,1064
326.92048,1054
326.9569,1048
326.99332,1060
327.02974,1058
327.06616,1058
327.10258,1064
327.139,1058
327.17542,1076
327.21184,1050
327.24826,1052
327.28468,1068
327.3211,1062
327.35752,1046
327.39394,1052
327.43036,1060
327.46678,1058
327.5032,1064
327.53962,1046
327.57604,1050
327.61246,1050
327.64888,1060
327.6853,1066
327.72172,1056
327.75814,1070
327.79456,1068
327.83098,1064
327.8674,1042
327.90382,1056
327.94024,1056
327.97666,1060
328.01308,1058
328.0495,1058
328.08592,1052
328.12234,1054
328.15876,1052
328.19518,1056
328.2316,1058
328.26802,1048
328.30444,1044
328.34086,1060
328.37728,1054
328.4137,1060
328.45012,1052
328.48654,1056
328.52296,1050
328.55938,1064
328.5958,1052
328.63222,1050
328.66864,1050
328.70506,1054
328.74148,1050
328.7779,1062
328.81432,1058
328.85074,1054
328.88716,1054
328.92358,1054
328.96,1046
328.99642,1050
329.03284,1058
329.06926,1062
329.10568,1068
329.1421,1054
329.17852,1062
329.21494,1054
329.25136,1050
329.28778,1050
329.3242,1056
329.36062,1064
329.39704,1050
329.43346,1050
329.46988,1056
329.5063,1050
329.54272,1064
329.57914,1048
329.61556,1046
329.65198,1052
329.6884,1054
329.72482,1062
329.76124,1044
329.79766,1060
329.83408,1054
329.8705,1050
329.90692,1054
329.94334,1054
329.97976,1054
330.01618,1054
330.0526,1060
